HCPID,ParamID.m1,ans.m1,bll.m1,lf.m1,PSwitch.LL.m1,PSwitch.mean_Punishment_MostlyPunishment.m1,PSwitch.mean_Reward_MostlyPunishment.m1,PSwitch.mean_Punishment_MostlyReward.m1,PSwitch.mean_Reward_MostlyReward.m1,PSwitch.sd_Punishment_MostlyPunishment.m1,PSwitch.sd_Reward_MostlyPunishment.m1,PSwitch.sd_Punishment_MostlyReward.m1,PSwitch.sd_Reward_MostlyReward.m1,ParamID.m2,ans.m2,bll.m2,lf.m2,PSwitch.LL.m2,PSwitch.mean_Punishment_MostlyPunishment.m2,PSwitch.mean_Reward_MostlyPunishment.m2,PSwitch.mean_Punishment_MostlyReward.m2,PSwitch.mean_Reward_MostlyReward.m2,PSwitch.sd_Punishment_MostlyPunishment.m2,PSwitch.sd_Reward_MostlyPunishment.m2,PSwitch.sd_Punishment_MostlyReward.m2,PSwitch.sd_Reward_MostlyReward.m2,Punishment_MostlyPunishment.subj,Reward_MostlyPunishment.subj,Punishment_MostlyReward.subj,Reward_MostlyReward.subj,best_model,maxLL_diff
159239_fnca,54,0.25,0.25,0.1,-9.61395521696865,0.278,0.272,0.372,0.279,0.253377189186399,0.301722943598722,0.338085848293487,0.262851319811278,41,0.2,0.25,0.1,-10.4815674273397,0.214,0.192,0.224,0.21,0.242655378372418,0.270931876368679,0.287537042866494,0.238618472692715,0.55,1,0.6,0.833333333333333,m1,0.8676122103710497
159138_fnca,92,0.4,0.2,0.1,-5.27674026574897,0.38,0.388,0.38,0.379,0.20303814862217,0.266220715549626,0.271804251292006,0.215257321096669,91,0.35,0.8,0.1,-6.03510758025737,0.262,0.24,0.28,0.264,0.22282050980966,0.255550625999976,0.261861468283191,0.223159136044214,0.45,0.6,0.2,0.684210526315789,m1,0.7583673145084004
158540_fnca,85,0.35,0.5,0.1,-5.06804733522386,0.316,0.348,0.372,0.319,0.225750449182549,0.327787885619929,0.291400558877785,0.218503724341304,52,0.2,0.8,0.1,-5.47112861765304,0.178,0.168,0.176,0.189,0.247674902125462,0.246973517542564,0.230845827162562,0.246669654330132,0.444444444444444,0.2,0.8,0.25,m1,0.40308128242917984
158136_fnca,69,0.3,0.35,0.1,-3.76743454654007,0.332,0.264,0.304,0.317,0.245523181498329,0.243913668233292,0.318773158422431,0.242985260323942,63,0.25,0.7,0.1,-3.79234242885927,0.255,0.228,0.264,0.229,0.254199423561061,0.277039745177769,0.269360542843261,0.229704779476366,0.35,0.2,0.4,0.35,m1,0.02490788231920016
158035_fnca,49,0.2,0.65,0.1,-3.87539306199948,0.246,0.2,0.26,0.242,0.252303671905787,0.258725289661069,0.313635691430002,0.264451685336946,84,0.35,0.45,0.1,-4.14831769888691,0.334,0.332,0.364,0.336,0.215813600600337,0.244481959603216,0.276095221669212,0.215482372971026,0.2,0.2,0.4,0.35,m1,0.27292463688742963
157437_fnca,102,0.4,0.7,0.1,-3.85226016195462,0.367,0.324,0.356,0.338,0.208397677138529,0.26462140842327597,0.303153493821738,0.209849314256391,73,0.3,0.55,0.1,-3.7507357043975,0.24,0.272,0.268,0.275,0.203289278153682,0.296262431927216,0.247798469794817,0.225254957588878,0.4,0.2,0.4,0.4,m2,0.10152445755712014
157336_fnca,24,0.1,0.7,0.1,-4.01276585091055,0.079,0.084,0.064,0.075,0.186834533363463,0.210305899652319,0.158770788450855,0.180206797307755,85,0.35,0.5,0.1,-9.10586800524802,0.283,0.256,0.316,0.296,0.223745938282596,0.268145559009144,0.277275373325979,0.230757404197215,0,0,0,0,m1,5.09310215433747
156637_fnca,115,0.45,0.7,0.1,-3.9296435626225,0.35,0.4,0.384,0.323,0.179852547314488,0.285714285714286,0.248555007667789,0.196969385376282,93,0.4,0.25,0.1,-5.30251175250548,0.331,0.336,0.36,0.33,0.210657377303158,0.250517831048948,0.291372543633873,0.229906813420444,0.35,0.6,0.4,0.3,m1,1.37286818988298
156233_fnca,68,0.3,0.3,0.1,-6.18131246085839,0.312,0.312,0.32,0.313,0.248989795709276,0.277481383821234,0.285714285714286,0.23578137573366,52,0.2,0.8,0.1,-8.68463224777553,0.23,0.22,0.248,0.235,0.247023092368437,0.271804251292006,0.309205697336427,0.256198663349442,0.85,0.2,0.2,0.3,m1,2.5033197869171406
155635_fnca,121,0.5,0.35,0.1,-4.3495903327306,0.404,0.448,0.448,0.449,0.169585328591448,0.254141210947852,0.272733704315011,0.155014811668868,91,0.35,0.8,0.1,-4.5155673817803,0.266,0.248,0.332,0.299,0.222104957722465,0.263601430735332,0.237710164799446,0.219575192829524,0.421052631578947,0.6,0.4,0.6,m1,0.16597704904970012
